City,Country,Latitude,Longitude,Distance
Bronx,United States,40.8501,-73.8662,0
The Hague,Netherlands,52.08,4.27,0
Owerri,Nigeria,5.4833,7.0333,0
Sharjah,United Arab Emirates,25.3575,55.3919,0
Faridabad,India,28.4333,77.3167,0
Ulaanbaatar,Mongolia,47.9203,106.9172,0
Goiania,Brazil,-16.6789,-49.2539,0
Belem,Brazil,-1.4558,-48.5039,0
Kayseri,Turkey,38.7333,35.4833,0
Yueqing,China,28.1188,120.9621,0
Belgrade,Serbia,44.8167,20.4667,0
Pingdu,China,36.7833,119.9556,0
Aurangabad,India,19.88,75.32,0
Yutan,China,28.3147,112.554,0
Wenling,China,28.3797,121.3718,0
Islamabad,Pakistan,33.6989,73.0369,0
Milwaukee,United States,43.0642,-87.9673,0
Milan,Italy,45.4669,9.19,0
Sofia,Bulgaria,42.6975,23.3241,0
Adelaide,Australia,-34.9289,138.6011,0
Samsun,Turkey,41.2867,36.33,0
Rajkot,India,22.2969,70.7984,0
Khulna,Bangladesh,22.8167,89.55,0
Cordoba,Argentina,-31.4167,-64.1833,0
Guarulhos,Brazil,-23.4667,-46.5333,0
Juarez,Mexico,31.7386,-106.487,0
Prague,Czechia,50.0833,14.4167,0
Montevideo,Uruguay,-34.8667,-56.1667,0
Mbuji-Mayi,Congo (Kinshasa),-6.1209,23.5967,0
Fuqing,China,25.7232,119.3735,0
Xintai,China,35.91,117.78,0
Doha,Qatar,25.3,51.5333,0
Saitama,Japan,35.8617,139.6453,0
Hiroshima,Japan,34.3853,132.4553,0
Meerut,India,28.99,77.7,0
Yushu,China,44.8249,126.5451,0
Rongcheng,China,26.2312,104.0966,0
Yangquan,China,37.8576,113.5762,0
Haicheng,China,40.8523,122.7474,0
Gaozhou,China,21.9392,110.8461,0
Yingtan,China,28.2333,117,0
Huaiyin,China,33.58,119.03,0
Wuzhong,China,37.9874,106.1919,0
Jabalpur,India,23.1667,79.9333,0
Thane,India,19.18,72.9633,0
Zhangye,China,38.9355,100.4553,0
Rucheng,China,32.3852,120.5634,0
Nizhniy Novgorod,Russia,56.3269,44.0075,0
Comayaguela,Honduras,14.0833,-87.2167,0
Yangshe,China,31.8775,120.5512,0
Shaoyang,China,32.9387,119.8404,0
Dhanbad,India,23.7928,86.435,0
Yichun,China,47.7235,128.8893,0
Laiwu,China,36.1833,117.6667,0
Kazan,Russia,55.7908,49.1144,0
Dayan,China,26.8808,100.2208,0
Suwon,"Korea, South",37.2858,127.01,0
Jiangyin,China,31.9087,120.2653,0
Yongcheng,China,33.9317,116.4459,0
Calgary,Canada,51.05,-114.0667,0
Can Tho,Vietnam,10.0333,105.7833,0
Abuja,Nigeria,9.0556,7.4914,0
Yiwu,China,29.3081,120.0698,0
Mandalay,Burma,21.9769,96.0869,0
Beidao,China,34.6,105.92,0
Al Basrah,Iraq,30.4889,47.81,0
Shuangshui,China,26.5944,104.8333,0
Sevilla,Spain,37.3828,-5.9731,0
Vila Velha,Brazil,3.2167,-51.2167,0
Allahabad,India,25.455,81.84,0
Varanasi,India,25.3189,83.0128,0
Tunis,Tunisia,36.8008,10.18,0
Chelyabinsk,Russia,55.15,61.4,0
Mombasa,Kenya,-4.05,39.6667,0
Providence,United States,41.823,-71.4187,0
Qom,Iran,34.6461,50.8789,0
Maiduguri,Nigeria,11.8333,13.15,0
Maputo,Mozambique,-25.9153,32.5764,0
Rosario,Argentina,-32.9575,-60.6394,0
Benin City,Nigeria,6.3176,5.6145,0
Xinyu,China,27.795,114.9242,0
Ahvaz,Iran,31.3203,48.6692,0
Dublin,Ireland,53.3425,-6.2658,0
Jacksonville,United States,30.3322,-81.6749,0
Medina,Saudi Arabia,24.4667,39.6,0
Srinagar,India,34.0911,74.8061,0
Omsk,Russia,54.9667,73.3833,0
Huazhou,China,21.654,110.6294,0
Cilacap,Indonesia,-7.7167,109.017,0
Xiantao,China,30.3833,113.4,0
Bandar Lampung,Indonesia,-5.4294,105.2625,0
Samara,Russia,53.1833,50.1167,0
Guankou,China,28.1417,113.625,0
Ulsan,"Korea, South",35.55,129.3167,0
Dingzhou,China,38.5158,114.9845,0
Campinas,Brazil,-22.9009,-47.0573,0
Lianyuan,China,27.6961,111.6659,0
Rongcheng,China,29.8239,112.9019,0
Kaiyuan,China,36.0656,113.8153,0
Nay Pyi Taw,Burma,19.8028,96.1583,0
Dakar,Senegal,14.7319,-17.4572,0
Zhuji,China,29.7169,120.2314,0
Zapopan,Mexico,20.7167,-103.4,0
Leiyang,China,26.4179,112.8457,0
Dadukou,China,26.5849,101.7149,0
Quetta,Pakistan,30.192,67.007,0
Amritsar,India,31.6167,74.85,0
Callao,Peru,-12.0611,-77.1333,0
Aligarh,India,27.88,78.08,0
Yingchuan,China,34.1511,113.4733,0
Tegucigalpa,Honduras,14.0942,-87.2067,0
Ciudad Nezahualcoyotl,Mexico,19.41,-99.03,0
Tripoli,Libya,32.8752,13.1875,0
Rostov,Russia,47.2333,39.7167,0
Nezahualcoyotl,Mexico,19.4,-98.9889,0
Bhiwandi,India,19.3,73.0667,0
Zhoushan,China,30.0162,122.0988,0
Tbilisi,Georgia,41.7225,44.7925,0
Ufa,Russia,54.7333,55.9667,0
Fes,Morocco,34.0433,-5.0033,0
Bien Hoa,Vietnam,10.9575,106.8426,0
Mexicali,Mexico,32.6633,-115.4678,0
Gwalior,India,26.215,78.1931,0
Ankang,China,32.6877,109.0235,0
Ikare,Nigeria,7.5304,5.76,0
Hegang,China,47.3139,130.2775,0
Salt Lake City,United States,40.7777,-111.9306,0
Bhilai,India,21.2167,81.4333,0
Yuyao,China,30.0372,121.1546,0
N'Djamena,Chad,12.11,15.05,0
Hanchuan,China,30.652,113.8274,0
Gongzhuling,China,43.5036,124.8088,0
Copenhagen,Denmark,55.6786,12.5635,0
