City,Country,Latitude,Longitude,Distance
Wuwei,China,37.9278,102.6329,2490.5637773009794
Bhopal,India,23.25,77.4167,827.4501634758361
Curitiba,Brazil,-25.4297,-49.2719,14747.33966541322
Xiping,China,40.08,113.3,3437.384397692332
Asuncion,Paraguay,-25.3,-57.6333,15538.132265506196
Saidu Sharif,Pakistan,34.75,72.3572,619.1179050961401
Vienna,Austria,48.2083,16.3731,5392.829297490077
Aleppo,Syria,36.2,37.15,3710.3844422818033
Hamburg,Germany,53.55,10,5819.042312736742
Meru,Kenya,0.05,37.65,5357.671544727021
Brazzaville,Congo (Brazzaville),-4.2667,15.2833,7591.896609145375
Orlando,United States,28.4772,-81.3369,13043.945343027206
Mersin,Turkey,36.8,34.6167,3933.792224636486
Almaty,Kazakhstan,43.25,76.9,1398.2755602449004
Barranquilla,Colombia,10.96,-74.8,14484.506921939468
Kyoto,Japan,35.0111,135.7669,5444.1699971733005
Manaus,Brazil,-3.1,-60.0167,14553.854878103682
Liaoyang,China,41.2643,123.1772,4276.445656351936
Baiyin,China,36.5448,104.1766,2602.0308644451256
San Jose,United States,37.3019,-121.8486,12209.827598320797
Warsaw,Poland,52.2167,21.0333,5075.433522428588
Shengli,China,37.45,118.4667,3873.177971469382
Lubumbashi,Congo (Kinshasa),-11.6697,27.4581,7070.781978469207
Damascus,Syria,33.5131,36.2919,3811.4074257447974
Shuyangzha,China,34.1299,118.7734,3925.5346280618523
Shangqiu,China,34.4504,115.65,3636.5267093359516
Esfahan,Iran,32.6447,51.6675,2389.7412731120917
Budapest,Hungary,47.4983,19.0408,5195.477013474882
Heihe,China,50.2458,127.4886,4688.9325367568645
Lusaka,Zambia,-15.4167,28.2833,7296.389521279352
Diyarbakir,Turkey,37.9108,40.2367,3436.7380199935737
Chinchvad,India,18.6278,73.8131,1374.582195471301
Shuozhou,China,39.3408,112.4292,3354.860242439907
Vitoria,Brazil,-20.324,-40.366,13689.895208457834
Cleveland,United States,41.4767,-81.6804,11695.778100213784
Pittsburgh,United States,40.4396,-79.9762,11755.817753799281
Mecca,Saudi Arabia,21.4225,39.8261,3821.9219578739317
Patna,India,25.61,85.1414,986.9535941073749
Mosul,Iraq,36.3667,43.1167,3175.54546105606
Austin,United States,30.3004,-97.7522,13211.385025242926
Sanzhou,China,30.82,108.4,3003.159316025745
Conakry,Guinea,9.5092,-13.7122,9525.154322053342
Kampala,Uganda,0.3136,32.5811,5759.640400863179
Ecatepec,Mexico,19.6097,-99.06,14407.049076396444
Cincinnati,United States,39.1413,-84.5061,12016.517410441324
Makassar,Indonesia,-5.1331,119.4136,6022.829050613545
Yushan,China,31.3867,120.9766,4174.643881200801
Ludhiana,India,30.9083,75.8486,100.87353837824699
Newcastle,United Kingdom,55.0077,-1.6578,6553.096103892009
Depok,Indonesia,-6.394,106.8225,5211.049645715191
Zhongli,Taiwan,24.965,121.2168,4379.430438701045
Kansas City,United States,39.1239,-94.5541,12203.452274822279
Rabat,Morocco,34.0253,-6.8361,7636.688293437695
Ouagadougou,Burkina Faso,12.3572,-1.5353,8212.604837945588
Davao,Philippines,7.0667,125.6,5700.230039475879
Manhattan,United States,40.7834,-73.9662,11521.90935700258
Semarang,Indonesia,-6.9667,110.4167,5502.692939161581
Yinchuan,China,38.4795,106.2254,2810.3501962978407
Multan,Pakistan,30.1978,71.4711,520.1983040104942
Caloocan City,Philippines,14.65,120.9667,4825.588351107877
Harare,Zimbabwe,-17.8292,31.0522,7285.2244598958305
Novosibirsk,Russia,55.0333,82.9167,2750.611708491695
Chengtangcun,China,35.0833,117.15,3767.928070068594
Agra,India,27.18,78.02,404.4739618368224
Karaj,Iran,35.8327,50.9915,2465.839958021611
Indianapolis,United States,39.7771,-86.1458,11987.489800353464
Jingdezhen,China,29.2942,117.2036,3866.8757373983176
Puebla,Mexico,19.0333,-98.1833,14462.793685317934
Kalyan,India,19.2502,73.1602,1324.0270480695021
Madurai,India,9.9197,78.1194,2311.5901359847503
Gujranwala,Pakistan,32.15,74.1833,303.06608725860553
Benxi,China,41.292,123.761,4325.260933975204
Jamshedpur,India,22.8,86.1833,1272.661630132792
Zhuhai,China,22.2769,113.5678,3752.2687354275718
Recife,Brazil,-8.0539,-34.8808,12539.772110909616
Columbus,United States,39.9862,-82.985,11887.852302380954
Tabriz,Iran,38.0833,46.2833,2910.4053173102925
Santiago,Dominican Republic,19.5,-70.67,13445.453741126592
Maracaibo,Venezuela,10.6333,-71.6333,14322.35150446163
Beihai,China,21.4667,109.1,3364.4910931291315
Shuangyashan,China,46.6388,131.1545,4926.593319841512
Kobe,Japan,34.6913,135.183,5399.840461303217
Charlotte,United States,35.208,-80.8304,12327.00208573569
Yucheng,China,29.9888,103.0007,2503.5000422178373
Changshu,China,31.65,120.7333,4146.603992765274
Ximeicun,China,24.9633,118.3811,4108.506951485634
Jianguang,China,28.1958,115.7833,3759.989593625706
Gwangju,"Korea, South",35.1667,126.9167,4649.449379217884
Xushan,China,30.1697,121.2665,4228.953317868042
Guiping,China,23.4,110.0833,3374.332769588696
Nasik,India,20,73.7833,1226.717287868568
Porto Alegre,Brazil,-30.0328,-51.23,15081.105895222183
Zhangjiajie,China,29.1255,110.4844,3232.9342912028446
Valencia,Venezuela,10.1667,-68,14125.973150474141
Virginia Beach,United States,36.7335,-76.0435,12006.172194505576
Daejeon,"Korea, South",36.351,127.385,4672.9943681176155
Munich,Germany,48.1372,11.5755,5748.340884094415
Yekaterinburg,Russia,56.8356,60.6128,3169.980152776364
Auckland,New Zealand,-36.85,174.7833,12634.620727499561
Yunfu,China,22.9242,112.0353,3579.4474031493987
Huangshan,China,29.7132,118.3151,3961.924410449108
Huazhou,China,32.6832,112.079,3324.163991913368
Shiraz,Iran,29.61,52.5425,2337.7259001521606
